date,DrCr,amount,balance,mode,name
2024-01-31,Cr,6435.07,205853.28,Cheque,Salary Credit - ICICI Bank
2024-02-01,Cr,18073.9,223927.18,RTGS,Dividend Credit - ICICI Bank
2024-02-02,Dr,19261.25,204665.93,IMPS,ATM Cash Withdrawal - ICICI Bank
2024-02-03,Dr,10982.18,193683.75,ATM,Salary Credit - ICICI Bank
2024-02-04,Cr,21921.15,215604.9,IMPS,Dividend Credit - ICICI Bank
2024-02-05,Dr,12790.51,202814.39,UPI,Bill Payment - ICICI Bank
2024-02-06,Cr,12790.04,215604.43,NEFT,UPI Payment to merchant - ICICI Bank
2024-02-07,Dr,19110.27,196494.16,Cheque,Dividend Credit - ICICI Bank
2024-02-08,Dr,15053.83,181440.33,ATM,Salary Credit - ICICI Bank
2024-02-09,Dr,23241.65,158198.68,IMPS,NEFT Transfer Received - ICICI Bank
2024-02-10,Dr,6173.62,152025.06,Cheque,ATM Cash Withdrawal - ICICI Bank
2024-02-11,Dr,18351.31,133673.75,UPI,Dividend Credit - ICICI Bank
2024-02-12,Dr,3384.11,130289.64,ATM,Dividend Credit - ICICI Bank
2024-02-13,Dr,6773.4,123516.24,Cheque,EMI Debit - ICICI Bank
2024-02-14,Dr,23237.05,100279.19,RTGS,NEFT Transfer Received - ICICI Bank
2024-02-15,Cr,7930.56,108209.75,RTGS,Online Purchase - ICICI Bank
2024-02-16,Dr,22510.43,85699.32,ATM,ATM Cash Withdrawal - ICICI Bank
2024-02-17,Dr,5772.49,79926.83,IMPS,Salary Credit - ICICI Bank
2024-02-18,Cr,13937.25,93864.08,Cheque,NEFT Transfer Received - ICICI Bank
2024-02-19,Dr,1960.63,91903.45,RTGS,Salary Credit - ICICI Bank
2024-02-20,Dr,1871.53,90031.92,UPI,Online Purchase - ICICI Bank
2024-02-21,Dr,12951.07,77080.85,IMPS,Interest Credit - ICICI Bank
2024-02-22,Dr,13573.0,63507.85,RTGS,Insurance Premium - ICICI Bank
2024-02-23,Cr,11922.24,75430.09,ATM,EMI Debit - ICICI Bank
2024-02-24,Dr,2539.28,72890.81,RTGS,EMI Debit - ICICI Bank
2024-02-25,Dr,10704.75,62186.06,ATM,Salary Credit - ICICI Bank
2024-02-26,Cr,16405.7,78591.76,RTGS,ATM Cash Withdrawal - ICICI Bank
2024-02-27,Dr,10185.01,68406.75,IMPS,ATM Cash Withdrawal - ICICI Bank
2024-02-28,Dr,4951.43,63455.32,Cheque,Interest Credit - ICICI Bank
2024-02-29,Dr,10662.66,52792.66,IMPS,Interest Credit - ICICI Bank
