date,DrCr,amount,balance,mode,name
2024-03-01,Dr,11189.64,76281.33,Cheque,ATM Cash Withdrawal - SBI
2024-03-02,Dr,16373.19,59908.14,Cheque,Salary Credit - SBI
2024-03-03,Dr,23173.9,36734.24,NEFT,UPI Payment to merchant - SBI
2024-03-04,Dr,12243.9,24490.34,NEFT,EMI Debit - SBI
2024-03-05,Dr,4283.0,20207.34,UPI,EMI Debit - SBI
2024-03-06,Dr,23177.65,-2970.31,ATM,Bill Payment - SBI
2024-03-07,Dr,17475.47,-20445.78,RTGS,Dividend Credit - SBI
2024-03-08,Cr,18016.53,-2429.25,NEFT,NEFT Transfer Received - SBI
2024-03-09,Dr,5598.98,-8028.23,UPI,Insurance Premium - SBI
2024-03-10,Cr,13646.44,5618.21,RTGS,Online Purchase - SBI
2024-03-11,Dr,1443.53,4174.68,ATM,Dividend Credit - SBI
2024-03-12,Cr,4104.33,8279.01,Cheque,ATM Cash Withdrawal - SBI
2024-03-13,Dr,1899.33,6379.68,UPI,NEFT Transfer Received - SBI
2024-03-14,Dr,3173.19,3206.49,Cheque,NEFT Transfer Received - SBI
2024-03-15,Cr,14944.08,18150.57,Cheque,ATM Cash Withdrawal - SBI
2024-03-16,Dr,16502.85,1647.72,Cheque,Dividend Credit - SBI
2024-03-17,Dr,23380.72,-21733.0,NEFT,Online Purchase - SBI
2024-03-18,Dr,6787.24,-28520.24,NEFT,Bill Payment - SBI
2024-03-19,Dr,8041.19,-36561.43,UPI,Salary Credit - SBI
2024-03-20,Dr,15604.75,-52166.18,Cheque,ATM Cash Withdrawal - SBI
2024-03-21,Dr,13533.33,-65699.51,Cheque,Bill Payment - SBI
2024-03-22,Dr,23344.83,-89044.34,UPI,NEFT Transfer Received - SBI
2024-03-23,Dr,7267.69,-96312.03,ATM,Dividend Credit - SBI
2024-03-24,Cr,7702.43,-88609.6,RTGS,Dividend Credit - SBI
2024-03-25,Dr,16763.01,-105372.61,Cheque,Bill Payment - SBI
2024-03-26,Cr,2768.95,-102603.66,NEFT,Bill Payment - SBI
2024-03-27,Dr,22264.88,-124868.54,RTGS,Dividend Credit - SBI
2024-03-28,Dr,6954.24,-131822.78,Cheque,NEFT Transfer Received - SBI
2024-03-29,Cr,8703.43,-123119.35,RTGS,Bill Payment - SBI
2024-03-30,Cr,12315.59,-110803.76,UPI,ATM Cash Withdrawal - SBI
